Date,Coin,MinPrice,MaxPrice
2025-04-05,bitcoin,7066757.68,7172245.44
2025-04-06,bitcoin,6664355.32,7142939.59
2025-04-07,bitcoin,6416743.92,6872749.97
2025-04-08,bitcoin,6622444.38,6932121.4
2025-04-09,bitcoin,6497175.15,7179157.21
2025-04-10,bitcoin,6802581.12,7120440.23
2025-04-11,bitcoin,6816741.72,7221336.03
2025-04-12,bitcoin,7133068.02,7353115.38
2025-04-13,bitcoin,7164220.18,7347660.03
2025-04-14,bitcoin,7190560.57,7366366.77
2025-04-15,bitcoin,7185669.34,7366126.19
2025-04-16,bitcoin,7132923.89,7291647.44
2025-04-17,bitcoin,7186327.99,7270181.22
2025-04-18,bitcoin,7204864.61,7253070.16
2025-04-19,bitcoin,7208945.43,7296096.72
2025-04-20,bitcoin,7180230.89,7281481.41
2025-04-21,bitcoin,7269557.95,7512823.14
2025-04-22,bitcoin,7454052.81,7917256.5
2025-04-23,bitcoin,7908928.08,8061208.91
2025-04-24,bitcoin,7851871.07,8010760.36
2025-04-25,bitcoin,7927732.73,8152400.69
2025-04-26,bitcoin,8035043.51,8118229.11
2025-04-27,bitcoin,8007461.04,8104360.94
2025-04-28,bitcoin,7940074.92,8108688.92
2025-04-29,bitcoin,8020574.05,8125732.67
2025-04-30,bitcoin,7904559.77,8090613.65
2025-05-01,bitcoin,7972961.19,8229926.03
2025-05-02,bitcoin,8109426.88,8258293.32
2025-05-03,bitcoin,8121525.96,8203480.93
2025-05-04,bitcoin,8029181.69,8130021.53
2025-05-05,bitcoin,7909235.96,8001734.25
2025-04-05,ethereum,152453.94,155791.64
2025-04-06,ethereum,134217.19,154878.62
2025-04-07,ethereum,122865.53,135730.38
2025-04-08,ethereum,126557.19,136848.8
2025-04-09,ethereum,122618.26,144133.63
2025-04-10,ethereum,129529.36,143715.43
2025-04-11,ethereum,130196.36,136100.23
2025-04-12,ethereum,133348.54,142488.05
2025-04-13,ethereum,135331.08,141363.8
2025-04-14,ethereum,137248.3,144265.46
2025-04-15,ethereum,136310.9,141114.34
2025-04-16,ethereum,133846.03,136881.91
2025-04-17,ethereum,134255.49,137625.13
2025-04-18,ethereum,134802.98,136373.59
2025-04-19,ethereum,135457.31,138319.11
2025-04-20,ethereum,134184.07,138067.67
2025-04-21,ethereum,133811.56,140453
2025-04-22,ethereum,133240.44,149334.22
2025-04-23,ethereum,149267.05,154871.03
2025-04-24,ethereum,147996.72,153567.44
2025-04-25,ethereum,148722.57,154362.72
2025-04-26,ethereum,152699.05,155172.79
2025-04-27,ethereum,153174.88,157422.04
2025-04-28,ethereum,149899.61,154524.63
2025-04-29,ethereum,152735.12,156146.84
2025-04-30,ethereum,148079.89,154254.86
2025-05-01,ethereum,151950.73,157747.76
2025-05-02,ethereum,152712,157573.4
2025-05-03,ethereum,154236.12,155927.71
2025-05-04,ethereum,153606.24,156280.24
2025-05-05,ethereum,150766.83,153504.8
2025-04-05,solana,10069.75,10421.04
2025-04-06,solana,9027.49,10289.69
2025-04-07,solana,8339.22,9352.39
2025-04-08,solana,8991.89,9605.84
2025-04-09,solana,8924.41,10325.69
